Name,Step,Evaluation Average Return
"b=30000, lr=0.02",16,-41.06267166
"b=30000, lr=0.02",17,-34.2426796
"b=30000, lr=0.02",18,-15.71415043
"b=30000, lr=0.02",19,-8.752334595
"b=30000, lr=0.02",20,-1.644154906
"b=30000, lr=0.02",21,-29.31488228
"b=30000, lr=0.02",22,18.87790108
"b=30000, lr=0.02",23,-27.28022957
"b=30000, lr=0.02",24,-7.34245348
"b=30000, lr=0.02",25,11.07847881
"b=30000, lr=0.02",26,30.10455894
"b=30000, lr=0.02",27,4.675056458
"b=30000, lr=0.02",28,8.830212593
"b=30000, lr=0.02",29,-11.13077068
"b=30000, lr=0.02",30,21.9034729
"b=30000, lr=0.02",31,-1.044249177
"b=30000, lr=0.02",32,5.092803478
"b=30000, lr=0.02",33,5.315100193
"b=30000, lr=0.02",34,9.133271217
"b=30000, lr=0.02",35,24.51206017
"b=30000, lr=0.02",36,9.361865997
"b=30000, lr=0.02",37,19.76953316
"b=30000, lr=0.02",38,17.06318474
"b=30000, lr=0.02",39,19.36828423
"b=30000, lr=0.02",40,54.03194046
"b=30000, lr=0.02",41,52.45355606
"b=30000, lr=0.02",42,53.17764282
"b=30000, lr=0.02",43,57.08665466
"b=30000, lr=0.02",44,74.27978516
"b=30000, lr=0.02",45,79.19478607
"b=30000, lr=0.02",46,99.25566864
"b=30000, lr=0.02",47,97.990242
"b=30000, lr=0.02",48,96.92789459
"b=30000, lr=0.02",49,128.460022
"b=30000, lr=0.02",50,168.7262726
"b=30000, lr=0.02",51,186.3538818
"b=30000, lr=0.02",52,166.2017822
"b=30000, lr=0.02",53,201.3448944
"b=30000, lr=0.02",54,142.0224457
"b=30000, lr=0.02",55,160.1525879
"b=30000, lr=0.02",56,168.6667023
"b=30000, lr=0.02",57,137.2141571
"b=30000, lr=0.02",58,110.9897079
"b=30000, lr=0.02",59,179.7590332
"b=30000, lr=0.02",60,215.9367218
"b=30000, lr=0.02",61,192.3304291
"b=30000, lr=0.02",62,150.4942169
"b=30000, lr=0.02",63,172.2220917
"b=30000, lr=0.02",64,261.3752747
"b=30000, lr=0.02",65,210.8046417
"b=30000, lr=0.02",66,193.5364227
"b=30000, lr=0.02",67,184.0580902
"b=30000, lr=0.02",68,150.891037
"b=30000, lr=0.02",69,221.8258514
"b=30000, lr=0.02",70,200.8488312
"b=30000, lr=0.02",71,292.0575867
"b=30000, lr=0.02",72,232.6207733
"b=30000, lr=0.02",73,244.7293243
"b=30000, lr=0.02",74,272.6278381
"b=30000, lr=0.02",75,282.1592102
"b=30000, lr=0.02",76,228.7063446
"b=30000, lr=0.02",77,245.2739716
"b=30000, lr=0.02",78,290.5405273
"b=30000, lr=0.02",79,264.3020325
"b=30000, lr=0.02",80,257.0339661
"b=30000, lr=0.02",81,245.7873077
"b=30000, lr=0.02",82,211.0793915
"b=30000, lr=0.02",83,268.9727783
"b=30000, lr=0.02",84,252.144577
"b=30000, lr=0.02",85,303.0178833
"b=30000, lr=0.02",86,333.3194885
"b=30000, lr=0.02",87,236.7071075
"b=30000, lr=0.02",88,291.1212463
"b=30000, lr=0.02",89,337.6007996
"b=30000, lr=0.02",90,358.2155762
"b=30000, lr=0.02",91,307.1582947
"b=30000, lr=0.02",92,351.9905701
"b=30000, lr=0.02",93,294.0690002
"b=30000, lr=0.02",94,280.0187073
"b=30000, lr=0.02",95,287.6257019
"b=30000, lr=0.02",96,296.2308655
"b=30000, lr=0.02",97,328.4362793
"b=30000, lr=0.02",98,301.3631592
"b=30000, lr=0.02",99,228.5990753
"b=30000, lr=0.02",100,246.5448456
"b=50000, lr=0.005",1,-80.58228302
"b=50000, lr=0.005",2,-79.26009369
"b=50000, lr=0.005",3,-98.36985016
"b=50000, lr=0.005",4,-120.3621445
"b=50000, lr=0.005",5,-61.0575676
"b=50000, lr=0.005",6,-95.60284424
"b=50000, lr=0.005",7,-103.1080017
"b=50000, lr=0.005",8,-49.88086319
"b=50000, lr=0.005",9,-76.58608246
"b=50000, lr=0.005",10,-33.94978714
"b=50000, lr=0.005",11,-60.94122696
"b=50000, lr=0.005",12,-44.4099617
"b=50000, lr=0.005",13,-65.64420319
"b=50000, lr=0.005",14,-93.58405304
"b=50000, lr=0.005",15,-72.84133911
"b=50000, lr=0.005",16,-78.17766571
"b=50000, lr=0.005",17,-43.56581497
"b=50000, lr=0.005",18,-41.51802444
"b=50000, lr=0.005",19,-70.2413559
"b=50000, lr=0.005",20,-124.4526596
"b=50000, lr=0.005",21,-37.2026825
