Lambda,Step,Evaluation Average Return
0.98,244,402.971344
0.98,245,316.3746338
0.98,246,355.2155762
0.98,247,328.9142456
0.98,248,460.7188416
0.98,249,445.7112732
0.98,250,492.2847595
0.98,251,387.5729065
0.98,252,292.4363708
0.98,253,348.508667
0.98,254,357.8612976
0.98,255,466.6039734
0.98,256,291.2282715
0.98,257,432.5830688
0.98,258,361.6982422
0.98,259,366.6815186
0.98,260,387.286499
0.98,261,332.3611145
0.98,262,318.8814392
0.98,263,296.2884521
0.98,264,349.1505127
0.98,265,297.8125305
0.98,266,345.3266602
0.98,267,430.6233521
0.98,268,428.7492065
0.98,269,500.2177734
0.98,270,333.3435059
0.98,271,361.7124329
0.98,272,468.9256287
0.98,273,506.9730835
0.98,274,447.9064636
0.98,275,397.0189819
0.98,276,356.4202576
0.98,277,393.1818237
0.98,278,414.690033
0.98,279,401.3360901
0.98,280,372.3461914
0.98,281,294.1312561
0.98,282,317.2755432
0.98,283,318.0101929
0.98,284,401.7954102
0.98,285,372.6547852
0.98,286,278.1409302
0.98,287,324.5673523
0.98,288,348.3617249
0.98,289,308.7578735
0.98,290,309.8812256
0.98,291,322.687561
0.98,292,256.4074402
0.98,293,380.227356
0.98,294,332.3306274
0.98,295,409.9620056
0.98,296,351.6210022
0.98,297,637.4487915
0.98,298,346.1141052
0.98,299,525.1637573
0.98,300,411.421875
0.99,1,10.09354115
0.99,2,9.991383553
0.99,3,11.14943981
0.99,4,11.54661369
0.99,5,20.32390213
0.99,6,12.06485367
0.99,7,14.0781889
0.99,8,17.51811409
0.99,9,19.93354988
0.99,10,22.45319748
0.99,11,33.27004623
0.99,12,23.31860733
0.99,13,23.84571457
0.99,14,31.63950539
0.99,15,40.38040543
0.99,16,27.36143112
0.99,17,33.09982681
0.99,18,77.34854126
0.99,19,50.80778503
0.99,20,50.14845276
0.99,21,55.76330185
0.99,22,64.6998291
0.99,23,61.24881363
0.99,24,80.08528137
0.99,25,89.36829376
0.99,26,69.87302399
0.99,27,91.03814697
0.99,28,72.47866821
0.99,29,70.45567322
0.99,30,79.03417969
0.99,31,116.8097763
0.99,32,86.55077362
0.99,33,100.7170334
0.99,34,104.2331848
0.99,35,103.3819199
0.99,36,108.867775
0.99,37,78.22386932
0.99,38,113.9295425
0.99,39,96.71708679
0.99,40,127.6007767
0.99,41,91.195755
0.99,42,127.9945602
0.99,43,103.3370209
0.99,44,125.6445236
0.99,45,82.38885498
0.99,46,108.4799576
